params,precision,recall,f1_score
"{'contamination': 0.01, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.01, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.01, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.01, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.05, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.05, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.05, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.05, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.1, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 42}",1.0,0.0,0.0
"{'contamination': 0.1, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.1, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 42}",1.0,1.0,1.0
"{'contamination': 0.1, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 42}",1.0,1.0,1.0
